Focus ID; Focus Name; Focus Description; Notes
SKY_develop_radar;Develop Radar;;Empty description (localization key exists);
SKY_Proud_Isolationists;Proud Isolationists;;Empty description (localization key exists);
SKY_Develop_Cheaper_Rifles;Develop Cheaper Rifles;;Empty description (localization key exists);
SKY_Develop_Tanks;Develop Tanks;;Empty description (localization key exists);
SKY_the_ohio_wars;The Ohio Wars;;Empty description (localization key exists);
SKY_Our_Promises_to_the_United_Mine_Workers;Our Promises to the United Mine Workers;;Empty description (localization key exists);
SKY_Establish_Royal_paratroopers;Establish Royal Paratroopers;;Empty description (localization key exists);
SKY_Establish_The_Kentuky_Rifles;Establish The Kentucky Rifles;;Empty description (localization key exists);
SKY_Medium_Bombers;Medium Bombers;;Empty description (localization key exists);
SKY_Swope_industrialization_plan;Swope Industrialization Plan;;Empty description (localization key exists);
SKY_The_War_Act;The War Act;;Empty description (localization key exists);
SKY_The_Tennessee_Threat;The Tennessee Threat;;Empty description (localization key exists);
SKY_Royal_service_Contracts;Royal Service Contracts;;Empty description (localization key exists);
SKY_Have_the_mafia_rig_the_Election;Have the Mafia Rig the Election;;Empty description (localization key exists);
SKY_Elect_Keen_Johnson;Elect Keen Johnson;;Empty description (localization key exists);
SKY_Elect_King_Swope;Elect King Swope;;Empty description (localization key exists);
SKY_Root_out_mafia_corruption;Root Out Mafia Corruption;;Empty description (localization key exists);
SKY_1942_election;1942 Election;;Empty description (localization key exists);
SKY_Develop_Our_Doctrines;Develop Our Doctrines;;Empty description (localization key exists);
SKY_Develop_Better_rifles;Develop Better Rifles;;Empty description (localization key exists);
SKY_vote_against_anti_lynching_bill;Vote Against Anti Lynching Bill;;Empty description (localization key exists);
SKY_Fill_stomachs_of_the_resentful;Fill Stomachs of the Resentful;;Empty description (localization key exists);
SKY_Free_chicken_soup_for_the_poor;Free Chicken Soup for the Poor;;Empty description (localization key exists);
SKY_Kentucky_dogfighters;Kentucky Dogfighters;;Empty description (localization key exists);
SKY_Establish_Col_Sanders_Raiders;Establish Col Sanders Raiders;;Empty description (localization key exists);
SKY_scrap_rifle_programs;Scrap Rifle Programs;;Empty description (localization key exists);
SKY_Ohio_Valley_is_Our_Land;Ohio Valley Is Our Land;;Empty description (localization key exists);
SKY_Repeal_Poll_Tax;Repeal Poll Tax;;Empty description (localization key exists);
SKY_Greater_Kentucky;Natural Kentuckian Borders;;Empty description (localization key exists);
SKY_fervor_in_the_factory_campaign;Fervor in the Factory Campaign;;Empty description (localization key exists);
DOU_funding_black_bussiniesses;Funding Black Bussiniesses;;Empty description (localization key exists);
DOU_The_Dixie_caliphate;The Dixie Caliphate;;Empty description (localization key exists);
DOU_Natchez_metropolis_program;Natchez Metropolis Program;;Empty description (localization key exists);
DOU_begin_5_year_plan;Begin 5 Year Plan;;Empty description (localization key exists);
DOU_A_modern_fighter;A Modern Fighter;;Empty description (localization key exists);
DOU_secularism_now;Secularism Now;;Empty description (localization key exists);
DOU_Expand_arms_factories;Expand Arms Factories;;Empty description (localization key exists);
DOU_study_forgien_doctrines;Study Foreign Doctrines;;Empty description (localization key exists);
DOU_dhimma_contracts;Dhimma Contracts;;Empty description (localization key exists);
DOU_submarine_effort;Submarine Effort;;Empty description (localization key exists);
DOU_revivals;Revivals;;Empty description (localization key exists);
DOU_fredrick_douglas_monument;Fredrick Douglas Monument;;Empty description (localization key exists);
DOU_Our_own_doctrines;Our Own Doctrines;;Empty description (localization key exists);
DOU_religious_tolerance;Religious Tolerance;;Empty description (localization key exists);
DOU_Modern_Artillery;Modern Artillery;;Empty description (localization key exists);
DOU_socialist_nightschools;Socialist Nightschools;;Empty description (localization key exists);
DOU_socialist_rallies;Socialist Rallies;;Empty description (localization key exists);
DOU_aircraft_factories;Aircraft Factories;;Empty description (localization key exists);
DOU_strategic_mobility_focus;Strategic Mobility Focus;;Empty description (localization key exists);
DOU_Greensvile_metropolis_program;Greensvile Metropolis Program;;Empty description (localization key exists);
DOU_modernization_of_infantry_weapons;Modernization of Infantry Weapons;;Empty description (localization key exists);
DOU_arkansas_question;Arkansas Question;;Empty description (localization key exists);
DOU_Industry_is_our_future;Industry Is Our Future;;Empty description (localization key exists);
DOU_expelling_bigots;Expelling Bigots;;Empty description (localization key exists);
DOU_black_aviation;Black Aviation;;Empty description (localization key exists);
DOU_promote_aggresive_generals;Promote Aggresive Generals;;Empty description (localization key exists);
DOU_Elijah_Muhammad;Elijah Muhammad;;Empty description (localization key exists);
DOU_flexible_navy;Flexible Navy;;Empty description (localization key exists);
DOU_ally_arkansas;Ally Arkansas;;Empty description (localization key exists);
DOU_invite_more_northern_blacks;Invite More Northern Blacks;;Empty description (localization key exists);
DOU_urbanization;Urbanization;;Empty description (localization key exists);
DOU_large_navy;Large Navy;;Empty description (localization key exists);
DOU_Organize_our_forces;Organize Our Forces;;Empty description (localization key exists);
DOU_socialist_allies;Socialist Allies;;Empty description (localization key exists);
DOU_establish_Our_new_nation;Establish Our New Nation;;Empty description (localization key exists);
DOU_march_on_greenville;March on Greenville;;Empty description (localization key exists);
DOU_form_farming_union_police;Form Farming Union Police;;Empty description (localization key exists);
DOU_establish_jizya_tax;Establish Jizya Tax;;Empty description (localization key exists);
DOU_clear_out_deleta;Clear Out Delta;;Empty description (localization key exists);
DOU_mosque_in_every_county;Mosque in Every County;;Empty description (localization key exists);
DOU_religious_freedom_union_meeting;Religious Freedom Union Meeting;;Empty description (localization key exists);
DOU_dollar_for_a_hundred;Dollar for a Hundred;;Empty description (localization key exists);
DOU_unite_douglas;Unite Douglas;;Empty description (localization key exists);
DOU_kill_huey;Kill Huey;;Empty description (localization key exists);
DOU_pander_to_yankees_powers_for_support;Petition Internationalists for Support;;Empty description (localization key exists);
DOU_establish_Islamic_Science_Temple;Establish Islamic Science Temple;;Empty description (localization key exists);
DOU_islamic_arms_procurement;Islamic Arms Procurement;;Empty description (localization key exists);
DOU_Establish_Our_navy;Establish Our Navy;;Empty description (localization key exists);
DOU_seize_plantation_assets;Seize Plantation Assets;;Empty description (localization key exists);
DOU_Expand_arms_factories2;Expand Arms Factories2;;Empty description (localization key exists);
DOU_black_power;Black Power;;Empty description (localization key exists);
DOU_split_up_platations_to_farmers;Split up Platations to Farmers;;Empty description (localization key exists);
DOU_form_douglas_intelligence_committee;Form Douglas Intelligence Committee;;Empty description (localization key exists);
DOU_arms_for_our_insurrections;Arms for Our Insurrections;;Empty description (localization key exists);
DOU_fight_for_our_lives;Fight for Our Lives;;Empty description (localization key exists);
SNC_approch_tennessee;Approach Tennessee;;Empty description (localization key exists);
SNC_Well_funded_soldiers;Well Funded Army;;Empty description (localization key exists);
SNC_silver_legion_commandos;Silvershirt Legion Commandos;;Empty description (localization key exists);
SNC_Create_southern_Defence_council;Create Southern Defence Council;;Empty description (localization key exists);
SNC_ban_Populist_publications;Ban Populist Publications;;Empty description (localization key exists);
SNC_develop_the_mountains;Develop the Mountains;;Empty description (localization key exists);
SNC_by_gods_grace;By God's Grace;;Empty description (localization key exists);
SNC_Pelly_tank_plan;Pelley Tank Plan;;Empty description (localization key exists);
SNC_Greenville_weapons_plants;Greenville Weapons Plants;;Empty description (localization key exists);
SNC_Fund_Industrial_Research;Fund Industrial Research;;Empty description (localization key exists);
SNC_Address_Education_Crisis;Address Education Crisis;;Empty description (localization key exists);
SNC_invite_south_carolina;Invite South Carolina;;Empty description (localization key exists);
SNC_enact_liberation_doctrine;Enact Liberation Doctrine;;Empty description (localization key exists);
SNC_open_universtites_to_blacks;Open Universities to Blacks;;Empty description (localization key exists);
SNC_purchase_help_from_europe;Purchase Help from Europe;;Empty description (localization key exists);
SNC_modern_weapons;Modern Weapons;;Empty description (localization key exists);
SNC_Work_To_Disolve_Jim_Crow;Work To Disolve Jim Crow;;Empty description (localization key exists);
SNC_Open_up_tobacco_exports;Open up Tobacco Exports;;Empty description (localization key exists);
SNC_attack_the_jeffesonians;Attack the Jeffesonians;;Empty description (localization key exists);
SNC_stay_with_hoey;Stay with Hoey;;Empty description (localization key exists);
SNC_the_true_enemy_of_america;The True Enemy of America;;Empty description (localization key exists);
SNC_Spread_his_teachings;Spread His Teachings;;Empty description (localization key exists);
SNC_Invade_alabama_and_mississippi;Invade Alabama and Mississippi;;Empty description (localization key exists);
SNC_hoey_presidency;Hoey Presidency;;Empty description (localization key exists);
SNC_Purge_the_oppostion;Purge the Oppostion;;Empty description (localization key exists);
SNC_new_rifles;[null];[null];Missing description (no localization key exists);
SNC_Special_forces;Special Forces;;Empty description (localization key exists);
SNC_advananced_reaserch;Advanced Research;;Empty description (localization key exists);
SNC_establish_SRD_program;Establish S&RD Program;;Empty description (localization key exists);
SNC_deal_with_texas;Deal With Texas;;Empty description (localization key exists);
SNC_silver_legion;Silver Legion Victory;;Empty description (localization key exists);
SNC_invest_into_virgina;Invest into Virgina;;Empty description (localization key exists);
SNC_Carolina_cruiser;Carolina Cruiser;;Empty description (localization key exists);
SNC_Motorization_Investment;Motorization Investment;;Empty description (localization key exists);
SNC_Pelley_rules_all;Pelley Rules All;;Empty description (localization key exists);
SNC_Raleigh_project;Raleigh Project;;Empty description (localization key exists);
SNC_Attack_north;Attack North;;Empty description (localization key exists);
SNC_Segregated_Commandos;Segregate Our Forces;;Empty description (localization key exists);
SNC_silvershirt_legions;Silvershirt Legions;;Empty description (localization key exists);
SNC_invite_tennessee;Invite Tennessee;;Empty description (localization key exists);
SNC_invite_virginia;Invite Virginia;;Empty description (localization key exists);
SNC_flexible_navy;Flexible Navy;;Empty description (localization key exists);
SNC_Build_up_appellation_industry;Build up Appalachian Industry;;Empty description (localization key exists);
SNC_Increase_fuel_storage;Increase Fuel Storage;;Empty description (localization key exists);
SNC_March_West;March West;;Empty description (localization key exists);
SNC_build_up_sdc;Build up SDC;;Empty description (localization key exists);
SNC_the_charleston_referendum;The Charleston Referendum;;Empty description (localization key exists);
SNC_control_the_media;Control the Media;;Empty description (localization key exists);
SNC_Better_fighters;Better Fighters;;Empty description (localization key exists);
SNC_Aid_minority_communities;Aid Minority Communities;;Empty description (localization key exists);
SNC_integrate_south_carolina;Integrate South Carolina;;Empty description (localization key exists);
SNC_democratic_war_industry;Democratic War Industry;;Empty description (localization key exists);
SNC_uphold_democracy;Uphold Democracy;;Empty description (localization key exists);
SNC_Oppose_huey_long;Oppose Huey Long;;Empty description (localization key exists);
SNC_align_with_huey_long;Align with Huey Long;;Empty description (localization key exists);
SNC_Expand_the_realm;Expand The Realm;;Empty description (localization key exists);
SNC_claim_south_carolina;Claim South Carolina;;Empty description (localization key exists);
SNC_Electronics_Research;Electronics Research;;Empty description (localization key exists);
SNC_Formalize_Federal_Workers_Unions;Formalize Federal Workers Unions;;Empty description (localization key exists);
SNC_night_of_gods_wrath;Night of God's Wrath;;Empty description (localization key exists);
SNC_focus_on_forigen_policy;Focus on Foreign Policy;;Empty description (localization key exists);
SNC_Create_Regulation_Board_For_Tobacco_Exports;Create Regulation Board For Tobacco Exports;;Empty description (localization key exists);
SNC_Chapel_Hill_University_Funding;Chapel Hill University Funding;;Empty description (localization key exists);
SNC_ally_huey;Ally Huey;;Empty description (localization key exists);
SNC_Reclaim_the_south;Reclaim the South;;Empty description (localization key exists);
SNC_distribue_the_wealth;Distribute the Wealth;;Empty description (localization key exists);
SNC_Rocket_weapons;Rocket Weapons;;Empty description (localization key exists);
SNC_support_weapons_development;Support Weapons Development;;Empty description (localization key exists);
SNC_elect_Lewis_Randolph_Donelson_Jr;Elect Lewis Randolph Donelson Jr;;Empty description (localization key exists);
SNC_Air_doctrines2;Further Pursuement of Air Doctrines;;Empty description (localization key exists);
SNC_found_sdc_r_and_d_department;Found SDC R and D Department;;Empty description (localization key exists);
SNC_offer_a_referendum;Offer a Referendum;;Empty description (localization key exists);
SNC_fund_higher_education;Fund Higher Education;;Empty description (localization key exists);
SNC_Pelly_Naval_plan;Pelley Naval Plan;;Empty description (localization key exists);
SNC_Nationalized_tobacco_industry;Nationalized Tobacco Industry;;Empty description (localization key exists);
SNC_standardizes_our_ammunitions;Standardize Our Munitions;;Empty description (localization key exists);
SNC_the_confederacy_reborn;The Confederacy Reborn;;Empty description (localization key exists);
SNC_focus_on_forigen_affairs;Focus On Foreign Affairs;;Empty description (localization key exists);
SNC_synthetic_research;Synthetic Research;;Empty description (localization key exists);
SNC_invade_florida;Invade Florida;;Empty description (localization key exists);
SNC_approch_south_carolina;Approach South Carolina;;Empty description (localization key exists);
SNC_Naval_production;Naval Production;;Empty description (localization key exists);
SNC_Refuge_for_jewish_science;Refuge for Jewish Science;;Empty description (localization key exists);
SNC_incorporate_oppostion;Incorporate Opposition;;Empty description (localization key exists);
SNC_Develop_the_coastal_industry;Develop The Coastal Industry;;Empty description (localization key exists);
SNC_claim_southwest_territory;Claim Southwest Territory;;Empty description (localization key exists);
SNC_pool_military_resources1;Pool Military Resources;;Empty description (localization key exists);
SNC_appoint_pro_huey_simps;Appoint Pro Huey Goons;;Empty description (localization key exists);
SNC_Establish_Our_navy;Establish Our Navy;;Empty description (localization key exists);
SNC_Invite_Forgien_Educators;Invite Foreign Educators;;Empty description (localization key exists);
SNC_segrigated_upper_education;Segregated Upper Education;;Empty description (localization key exists);
SNC_Air_doctrines;Air Doctrines;;Empty description (localization key exists);
SNC_influence_our_neighbors;Influence Our Neighbors;;Empty description (localization key exists);
SNC_focus_on_domestic_affairs;Focus On Domestic Affairs;;Empty description (localization key exists);
SNC_destroyer_effort;Destroyer Effort;;Empty description (localization key exists);
SNC_integrate_tennessee;Integrate Tennessee;;Empty description (localization key exists);
SNC_solidify_control;Solidify Control;;Empty description (localization key exists);
PYT_Construct_ministry_of_defence;Construct a Ministry of Defence;;Empty description (localization key exists);
PYT_Warlord_of_the_north;Warlord Of The North;;Empty description (localization key exists);
PYT_Cavalry_army_focus;Cavalry Army Focus;;Empty description (localization key exists);
PYT_establish_mining_company;Establish Mining Company;;Empty description (localization key exists);
PYT_Albert_Vistists_the_factories;Albert Visits The Factories;;Empty description (localization key exists);
PYT_A_promise_to_everybody;A Promise To Everyone;;Empty description (localization key exists);
PYT_smuggle_arms;Smuggle Arms;;Empty description (localization key exists);
PYT_alberta_question;Albertan Incursion;;Empty description (localization key exists);
PYT_the_mad_trappers_personal_gun_designs;The Mad Trappers Personal Guns Designs;;Empty description (localization key exists);
PYT_Alaska_question;Seize Alaska;;Empty description (localization key exists);
PYT_the_mad_trappers_personal_Doctrine;The Mad Trappers Personal Doctrine;;Empty description (localization key exists);
PYT_offer_grants_to_forigen_scientists;Offer Grants To Foreign Scientists;;Empty description (localization key exists);
PYT_manitoba_question;Manitoban Invasion;;Empty description (localization key exists);
PYT_north_west_territory;Unite The North West Territory;;Empty description (localization key exists);
PYT_integration_program;Integration Program;;Empty description (localization key exists);
PYT_Trapper_Legions;Trapper Legions;;Empty description (localization key exists);
PYT_ontario;Invade Ontario;;Empty description (localization key exists);
PYT_hire_forgien_specialists;Hire Foreign Specialists;;Empty description (localization key exists);
PYT_the_war_call;The War Call;;Empty description (localization key exists);
PYT_albert_johnson_supply_trails;Albert Johnson Supply Trails;;Empty description (localization key exists);
PYT_Establish_trapper_airforce;Establish a Trapper Airforce;;Empty description (localization key exists);
PYT_Establish_courier_network;Establish Courier Networks;;Empty description (localization key exists);
PYT_dawson_city_development;Dawson City Developement;;Empty description (localization key exists);
PYT_Develop_tanks;Develop Tanks;;Empty description (localization key exists);
PYT_whitehorse_fur_processing_center;Whitehorse Fur Processing Center;;Empty description (localization key exists);
PYT_Have_the_trappers_start_smuggling;Have The Trappers Start Smuggling;;Empty description (localization key exists);
PYT_Prioritize_resources;Prioritize Resources;;Empty description (localization key exists);
PYT_Construct_a_capitol_building;Construct a Capitol Building;;Empty description (localization key exists);
PYT_Mechanization;Mechanization;;Empty description (localization key exists);
PYT_Integrate_Police;Integrate Police;;Empty description (localization key exists);
PYT_establish_yukon_university;Establish Yukon University;;Empty description (localization key exists);
PYT_take_over_the_universites_in_bc;Take Over BC Universities;;Empty description (localization key exists);
PYT_International_arms_procurement;International Arms Porcurement;;Empty description (localization key exists);
PYT_construct_whitehorse_steel_foundry;Construct Whitehorse Steel Foundry;;Empty description (localization key exists);
PYT_Solidify_our_government;Solidify Our Government;;Empty description (localization key exists);
PYT_DogSled_Army;Dog Sled Army;;Empty description (localization key exists);
PYT_deputization_act;Deputization Act;;Empty description (localization key exists);
PYT_mechanized_mines;Mechanized Mines;;Empty description (localization key exists);
PYT_appeal_to_the_trappers;Appeal to the Trappers;;Empty description (localization key exists);
PYT_Warrior_traditions;Warrior Traditions;;Empty description (localization key exists);
PYT_Develop_social_programs;Develop Social Programs;;Empty description (localization key exists);
PYT_rifle_drive;Rifle Drive;;Empty description (localization key exists);
PYT_Establish_research_society;Establish a Research Society;;Empty description (localization key exists);
PYT_attract_investors;Attract Investors;;Empty description (localization key exists);
PYT_international_recruitment_plan;International Recruitment Plan;;Empty description (localization key exists);
PYT_Cabin_factories;Cabin Factories;;Empty description (localization key exists);
PYT_giver_everything_we_got;Give Er Everything We Got!;;Empty description (localization key exists);
PYT_unite_our_brothers_in_bc;Unite Our Brothers in BC;;Empty description (localization key exists);
PYT_Hire_researchers;Hire Researchers;;Empty description (localization key exists);
PYT_Whitehorse_armoury;[null];[null];Missing description (no localization key exists);
PYT_harsh_approch_to_occupation;Harsh Approach to Occupation;;Empty description (localization key exists);
PYT_offer_miners_great_contracts;Offer Miners Good Contracts;;Empty description (localization key exists);
PYT_The_great_production_effort;The Great Production Effort;;Empty description (localization key exists);
PYT_saskatchewan_question;Saskatchewan Question;;Empty description (localization key exists);
PYT_Hire_A_research_team;Hire A Research Team;;Empty description (localization key exists);
CXN_unity_in_chaos;CXN_unity_in_chaos;[null];Missing description (no localization key exists);
CXN_secret_army_ties;CXN_secret_army_ties;[null];Missing description (no localization key exists);
CXN_a_nation_disunited;CXN_a_nation_disunited;[null];Missing description (no localization key exists);
CXN_fascists_in_the_government;CXN_fascists_in_the_government;[null];Missing description (no localization key exists);
CXN_canadian_expansionism;CXN_canadian_expansionism;[null];Missing description (no localization key exists);
CXN_memories_of_the_dominion;CXN_memories_of_the_dominion;[null];Missing description (no localization key exists);
CXN_disempower_the_bourgeoisie;CXN_disempower_the_bourgeoisie;[null];Missing description (no localization key exists);
SLA_Sell_the_oil;Sell the Oil;;Empty description (localization key exists);
SLA_New_Orleans_steel_works;New Orleans Steel Works;;Empty description (localization key exists);
SLA_Spread_Populism_to_Texas;Spread Populism to Texas;;Empty description (localization key exists);
SLA_Beat_Sense_into_our_army;Beat Sense Into Our Army;;Empty description (localization key exists);
SLA_Torpedo_destroyers;Torpedo Destroyers;;Empty description (localization key exists);
SLA_submarine_advancement;Submarine Advancement;;Empty description (localization key exists);
SLA_deal_with_douglas;[null];[null];Missing description (no localization key exists);
SLA_Occupy_texas;Occupy Texas;;Empty description (localization key exists);
SLA_Ramp_up_Naval_funding;Ramp Up Naval Funding;;Empty description (localization key exists);
SLA_Focus_on_protecting_our_coast;Focus on Protecting our Coast;;Empty description (localization key exists);
SLA_World_class_football;World Class Football;;Empty description (localization key exists);
SLA_destroyer_focus;Destroyer Focus;;Empty description (localization key exists);
SLA_Focus_on_developing_louisiana;Focus on Developing Louisiana;;Empty description (localization key exists);
SLA_the_new_king_fish;The New King Fish;;Empty description (localization key exists);
SLA_Our_gulf_bathtub;Our Gulf Bathtub;;Empty description (localization key exists);
SLA_Cinemas_for_the_poor;Cinemas for The Poor;;Empty description (localization key exists);
SLA_Children_Education_Initiative;Children Education Initiative;;Empty description (localization key exists);
SLA_share_the_oil;Share The Oil;;Empty description (localization key exists);
SLA_fleet_in_being;Fleet in Being;;Empty description (localization key exists);
SLA_Ask_the_swamp_folks_for_help;Ask the Swamp Folks for Help;;Empty description (localization key exists);
SLA_Texas_development;Texas Development;;Empty description (localization key exists);
SLA_synthetic_rubber_plants;Synthetic Rubber Plants;;Empty description (localization key exists);
SLA_Batton_Rouge_Steel_Works;Baton Rouge Steel Works;;Empty description (localization key exists);
SLA_Helping_our_friends;Helping our Friends;;Empty description (localization key exists);
SLA_Home_made_swamp_guns;Home Made Swamp Guns;;Empty description (localization key exists);
SLA_Divide_texas;Divided Texas;;Empty description (localization key exists);
SLA_Weapons_imports;Weapons Imports;;Empty description (localization key exists);
SLA_Wide_Spread_Education_Reform;Widespread Education Reform;;Empty description (localization key exists);
SLA_Focus_on_State_Universities;Focus on State Universities;;Empty description (localization key exists);
SLA_Huey_long_volenteer_army;Huey Long Volunteer Army;;Empty description (localization key exists);
SLA_tulane_rubber_projects;Tulane Rubber Projects;;Empty description (localization key exists);
SLA_harsh_treatment;Harsh Treatment;;Empty description (localization key exists);
SLA_Fund_the_night_schools;Fund the Night Schools;;Empty description (localization key exists);
SLA_Public_infrastructure_works;Public Infrastructure Works;;Empty description (localization key exists);
SLA_total_victory_over_texas;Total Victory Over Texas;;Empty description (localization key exists);
SLA_louisiana_coast_guard;Louisiana Coast Guard;;Empty description (localization key exists);
MDC_The_Light_of_Our_lord;The Light Of Our Lord;;Empty description (localization key exists);
MDC_Streamline_Our_Production_Techniques;Streamline Our Production Techniques;;Empty description (localization key exists);
MDC_Rain_Hell_From_Above;Rain Hell From Above;;Empty description (localization key exists);
MDC_Export_Our_Oil;Export Our Oil;;Empty description (localization key exists);
MDC_Acquiring_Intenational_arms;Acquiring International Arms;;Empty description (localization key exists);
MDC_Purchase_Obsolete_Tanks_From_Europe;Purchase Obsolete Tanks From Europe;;Empty description (localization key exists);
MDC_Focus_On_Naval_Bombers;Focus On Naval Bombers;;Empty description (localization key exists);
MDC_Bolster_cristero_fighters;Bolster Cristero Fighters;;Empty description (localization key exists);
MDC_Fund_Church_Run_Schools;Fund Church Run Schools;;Empty description (localization key exists);
MDC_Develop_Cristero_Airforce;Develop Cristero Air Force;;Empty description (localization key exists);
MDC_Hire_forgien_Researchers;Hire Foreign Researchers;;Empty description (localization key exists);
MDC_Invest_in_Agriculture;Invest In Agriculture;;Empty description (localization key exists);
MDC_Sell_Bonds_for_Our_New_Nation;Sell Bonds for Our New Nation;;Empty description (localization key exists);
MDC_Pacific_Fleet;Pacific Fleet;;Empty description (localization key exists);
MDC_Develop_Carriers;Develop Carriers;;Empty description (localization key exists);
MDC_Unite_Our_Forces_Under_God;Unite Our Forces Under God;;Empty description (localization key exists);
MDC_Hit_and_Run_Cavalry_Tactics;Hit and Run Cavalry Tactics;;Empty description (localization key exists);
MDC_Secret_Production_in_the_Mountains;Secret Production in the Mountains;;Empty description (localization key exists);
MDC_Bring_Sinaloa_Into_Our_Fold;Bring Sinaloa Into Our Fold;;Empty description (localization key exists);
MDC_Prepare_for_the_second_round_with_Mexico;Prepare for the Second Round With Mexico;;Empty description (localization key exists);
MDC_ask_for_Help_from_Knights_of_Columbus;Ask for Help From Knights of Columbus;;Empty description (localization key exists);
MDC_Rubber_Plants;Rubber Plants;;Empty description (localization key exists);
MDC_Anti_Tank_Focus;Anti Tank Focus;;Empty description (localization key exists);
MDC_Grand_Sea_Fleet;Grand Sea Fleet;;Empty description (localization key exists);
MDC_Ask_for_help_From_European_Navies;Ask For Help From European Navies;;Empty description (localization key exists);
MDC_Guadalajara_Weapons_Plants;Guadalajara Weapons Plants;;Empty description (localization key exists);
MDC_A_New_Secular_Mexico;[null];[null];Missing description (no localization key exists);
MDC_War_Goal2;Strike The North East;;Empty description (localization key exists);
MDC_Revive_Feminine_Brigades_of_St_Joan_of_Arc;Revive Feminine Brigades of St Joan of Arc;;Empty description (localization key exists);
MDC_Purchase_Radar_Technology;Purchase Radar Technology;;Empty description (localization key exists);
MDC_Mechanize_Our_Forces;Mechanize Our Forces;;Empty description (localization key exists);
MDC_Cristero_Crusaders;Cristero Crusaders;;Empty description (localization key exists);
MDC_Create_Youth_Corps;Create Youth Corps;;Empty description (localization key exists);
MDC_Aircraft_Factories;Aircraft Factories;;Empty description (localization key exists);
MDC_Atlantic_Fleet;Atlantic Fleet;;Empty description (localization key exists);
MDC_Streamline_fighter_Production;Streamline Fighter Production;;Empty description (localization key exists);
MDC_Conscript_All_Catholics;Conscript All Catholics;;Empty description (localization key exists);
MDC_A_Holy_Fighter_Plane;A Holy Fighter Plane;;Empty description (localization key exists);
MDC_Cristero_Commandos;Cristero Commandos;;Empty description (localization key exists);
MDC_Fund_Domestic_Arms_Production;Fund Domestic Arms Production;;Empty description (localization key exists);
MDC_War_Goal3;Bring Central Mexico Into The Fold;;Empty description (localization key exists);
MDC_Asking_the_Church_for_Further_Help;Asking the Church for Further Help;;Empty description (localization key exists);
MDC_Develop_raider_Tactics;Develop Raider Tactics;;Empty description (localization key exists);
MDC_Invest_In_Raiders;Invest In Raiders;;Empty description (localization key exists);
MDC_Bless_The_workers;Bless the Workers;;Empty description (localization key exists);
MDC_Modernization_of_our_doctrines;Modernization of Our Doctrines;;Empty description (localization key exists);
MDC_Ask_for_Help_From_the_Pope;Ask for Help From the Pope;;Empty description (localization key exists);
MDC_Fortifications_Against_Mexico;Fortifications Against Mexico;;Empty description (localization key exists);
MDC_Push_For_automatic_weapons;Push for Automatic Weapons;;Empty description (localization key exists);
MDC_Organize_Our_Industries;Organize Our Industries;;Empty description (localization key exists);
MDC_Ammunition_Standardization;Ammunition Standardization;;Empty description (localization key exists);
MDC_Destroyer_Investment;Destroyer Investment;;Empty description (localization key exists);
MDC_Promote_Catholic_Fanatics;Promote Catholic Fanatics;;Empty description (localization key exists);
